108.0,3.0,109.0,0.0,72.0,7.0,1.0,36.0,36.0,"o"
81.0,0.0,84.0,0.0,-14.0,-2.0,4.0,100.0,96.0,"o"
81.0,0.0,84.0,0.0,-20.0,16.0,4.0,105.0,102.0,"o"
76.0,-1.0,81.0,0.0,-42.0,-3.0,5.0,125.0,120.0,"o"
105.0,0.0,107.0,2.0,70.0,0.0,1.0,37.0,36.0,"o"
79.0,0.0,83.0,-1.0,-40.0,7.0,4.0,124.0,120.0,"o"
80.0,0.0,84.0,0.0,-36.0,0.0,4.0,120.0,116.0,"o"
102.0,2.0,103.0,1.0,72.0,29.0,1.0,31.0,30.0,"o"
76.0,3.0,80.0,2.0,-42.0,0.0,4.0,124.0,120.0,"o"
102.0,0.0,104.0,0.0,70.0,-10.0,1.0,34.0,32.0,"o"
82.0,0.0,86.0,0.0,-12.0,-28.0,3.0,99.0,96.0,"o"
83.0,0.0,86.0,0.0,-2.0,0.0,3.0,88.0,86.0,"o"
77.0,-44.0,107.0,0.0,62.0,-4.0,30.0,45.0,16.0,"o"
81.0,4.0,84.0,0.0,-24.0,0.0,3.0,110.0,106.0,"o"
84.0,0.0,87.0,-5.0,0.0,1.0,3.0,87.0,84.0,"o"
81.0,5.0,85.0,0.0,-24.0,0.0,4.0,111.0,108.0,"o"
85.0,-5.0,88.0,0.0,0.0,-2.0,3.0,88.0,84.0,"o"
82.0,-1.0,86.0,0.0,-4.0,-8.0,3.0,91.0,88.0,"o"
82.0,-1.0,86.0,-3.0,-40.0,0.0,4.0,128.0,124.0,"o"
102.0,0.0,103.0,1.0,70.0,-9.0,1.0,33.0,32.0,"o"
81.0,0.0,86.0,0.0,-24.0,-15.0,4.0,112.0,108.0,"o"
85.0,0.0,88.0,-1.0,2.0,0.0,3.0,85.0,82.0,"o"
82.0,0.0,86.0,0.0,-22.0,6.0,4.0,109.0,106.0,"o"
83.0,0.0,86.0,8.0,-2.0,0.0,4.0,89.0,86.0,"o"
83.0,0.0,86.0,-2.0,-4.0,2.0,3.0,92.0,88.0,"o"
81.0,0.0,84.0,0.0,-18.0,2.0,4.0,103.0,98.0,"o"
79.0,5.0,83.0,0.0,-46.0,0.0,4.0,129.0,126.0,"o"
77.0,-4.0,81.0,0.0,-40.0,91.0,4.0,123.0,118.0,"o"
80.0,0.0,84.0,8.0,-24.0,8.0,4.0,110.0,106.0,"o"
79.0,0.0,83.0,0.0,-40.0,-10.0,4.0,125.0,120.0,"o"
106.0,6.0,108.0,4.0,72.0,10.0,1.0,35.0,34.0,"o"
84.0,-4.0,88.0,0.0,6.0,0.0,4.0,83.0,78.0,"o"
76.0,1.0,80.0,0.0,-40.0,0.0,4.0,121.0,118.0,"o"
105.0,-14.0,108.0,0.0,70.0,0.0,3.0,38.0,34.0,"o"
